Location,Due Date,Level,Title,Year of Experiment,Salary Max
Ha Noi city,2023,Senior,Data Engineer,4,4500
Ha Noi city,2024,Junior,Data Governance,2,2500
Ho Chi Minh city,2024,Junior,Data Engineer,1,1500
Ho Chi Minh city,2024,Junior,Data Analyst,1,1500
Ha Noi city,2024,Senior,Risk Modeler,4,2200
Ho Chi Minh city,2023,Senior,Data Engineer,5,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Fresher,Data Engineer,"0,5",635
Ho Chi Minh city,2023,Junior,Data Engineer,1,3000
Ha Noi city,2023,Junior,Data Analyst,2,2000
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2024,Junior,Data Analyst,2,2000
Ho Chi Minh city,2024,Senior,Data Analyst,3,1500
Ha Noi city,2024,Junior,Data Engineer,2,2000
Ho Chi Minh city,2024,Junior,Data Engineer,"1,5",1500
Ho Chi Minh city,2023,Senior,Data Analyst,4,2500
Ho Chi Minh city,2023,Junior,Data Engineer,1,1060
Ha Noi city,2023,Senior,Data Engineer,5,2540
Ha Noi city,2023,Junior,Data Engineer,2,1270
Ho Chi Minh city,2023,Junior,Data Analyst,1,1100
Ho Chi Minh city,2023,Senior,Data Engineer,4,3000
Ha Noi city,2023,Junior,Data Engineer,"2,5",1185
Ho Chi Minh city,2024,Junior,Data Analyst,1,1200
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ha Noi city,2023,Senior,Data Engineer,8,3500
Ho Chi Minh city,2023,Senior,Data Architect,4,2800
Ho Chi Minh city,2023,Senior,Data Architect,5,3000
Ha Noi city,2024,Junior,Data Engineer,1,1270
Ha Noi city,2024,Junior,Data Analyst,1,850
Ha Noi city,2024,Senior,Data Analyst,3,2500
Ho Chi Minh city,2024,Junior,AI Engineer,1,1060
Ha Noi city,2023,Senior,Data Scientist,4,2540
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Junior,Data Engineer,"2,5",1145
Ha Noi city,2024,Junior,Data Analyst,2,1270
Ha Noi city,2023,Senior,Data Architect,4,2800
Ha Noi city,2024,Junior,Data Engineer,2,850
Ho Chi Minh city,2023,Junior,Data Analyst,1,765
Ha Noi city,2024,Junior,Data Analyst,1,2500
Ho Chi Minh city,2024,Senior,Financial Analyst,3,1000
Ho Chi Minh city,2024,Junior,Financial Analyst,1,1905
Ha Noi city,2024,Senior,Risk Modeler,4,2200
Ha Noi city,2023,Junior,Data Analyst,2,1270
Ho Chi Minh city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2024,Junior,Data Engineer,2,1270
Ha Noi city,2023,Junior,Data Engineer,1,1500
Ho Chi Minh city,2023,Senior,Data Scientist,4,2200
Ho Chi Minh city,2023,Senior,Data Analyst,4,2700
Ha Noi city,2023,Senior,Data Analyst,3,1485
Ho Chi Minh city,2023,Senior,Data Analyst,4,3000
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Senior,AI Engineer,4,2500
Ha Noi city,2023,Senior,Big Data,3,3000
Ha Noi city,2023,Senior,Data Analyst,3,1500
Ho Chi Minh city,2024,Senior,Data Engineer,3,2200
Ha Noi city,2023,Junior,Actuarial Officer,2,1800
Ha Noi city,2024,Senior,Data Scientist,10,3500
Ho Chi Minh city,2023,Junior,Actuarial Officer,2,1800
Ho Chi Minh city,2023,Senior,Data Engineer,5,2500
Ho Chi Minh city,2023,Senior,Data Analyst,8,4000
Ho Chi Minh city,2023,Senior,Data Engineer,8,4000
Ha Noi city,2023,Senior,Data Engineer,3,1905
Ho Chi Minh city,2024,Junior,Data Analyst,2,2200
Ha Noi city,2024,Junior,Data Engineer,1,2200
Ha Noi city,2024,Senior,Data Scientist,4,2330
Ha Noi city,2024,Senior,Data Scientist,10,3000
Ho Chi Minh city,2024,Junior,Data Analyst,"1,5",1500
Ha Noi city,2023,Junior,Data Analyst,1,1800
Ha Noi city,2023,Senior,Data Analyst,3,2200
Ho Chi Minh city,2023,Senior,Data Engineer,3,3500
Ho Chi Minh city,2023,Senior,Data Analyst,4,2200
Ho Chi Minh city,2023,Senior,Data Analyst,4,2700
Ha Noi city,2023,Senior,Data Scientist,4,2500
Ha Noi city,2023,Senior,Big Data Engineer,3,2965
Ha Noi city,2024,Junior,Data Analyst,1,1800
Ha Noi city,2024,Junior,Data Analyst,1,2500
Ha Noi city,2024,Senior,Data Analyst,4,2000
Ha Noi city,2024,Senior,Data Analyst,6,3000
Ha Noi city,2023,Senior,Data Architect,7,3500
Ho Chi Minh city,2023,Senior,Data Scientist,3,2500
Ha Noi city,2023,Senior,Data Engineer,3,2800
Ha Noi city,2023,Senior,Data Scientist,6,3000
Ha Noi city,2023,Senior,Data Engineer,3,1700
Ho Chi Minh city,2023,Senior,Data Scientist,9,3000
Ha Noi city,2024,Junior,Data Analyst,2,655
Ho Chi Minh city,2024,Junior,Data Analyst,2,765
Ho Chi Minh city,2024,Senior,Data Analyst,3,1600
Ho Chi Minh city,2023,Senior,Data Engineer,5,2500
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ha Noi city,2023,Senior,Data Architect,5,3000
Ha Noi city,2023,Senior,Data Engineer,4,2200
Ha Noi city,2023,Junior,Data Analyst,"1,5",2500
Ho Chi Minh city,2024,Junior,Data Engineer,2,2000
Ha Noi city,2023,Junior,Data Engineer,2,2200
Ha Noi city,2023,Junior,Data Engineer,2,1500
Ha Noi city,2024,Senior,Data Scientist,4,2800
Ha Noi city,2024,Junior,Data Analyst,1,1500
Ho Chi Minh city,2024,Senior,Data Engineer,3,3200
Ha Noi city,2024,Senior,Data Analyst,5,3000
Ho Chi Minh city,2023,Junior,Data Engineer,2,1500
Ho Chi Minh city,2023,Junior,Data Engineer,2,1425
Ho Chi Minh city,2023,Senior,Data Specialist,3,2700
Ho Chi Minh city,2024,Senior,Data Scientist,5,3000
Ha Noi city,2024,Senior,Data Analyst,3,1500
Ho Chi Minh city,2024,Senior,Data Science Expert,5,2500
Ho Chi Minh city,2024,Junior,Data Scientist,2,3000
Ho Chi Minh city,2023,Senior,Data Analyst,3,2200
Ha Noi city,2023,Senior,Big Data,3,3000
Ha Noi city,2023,Senior,Data Engineer,3,2540
Ha Noi city,2023,Senior,Data Engineer,3,1905
Ho Chi Minh city,2023,Senior,Data Analyst,4,2630
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ha Noi city,2023,Senior,Data Engineer,3,1485
Ho Chi Minh city,2023,Senior,Data Engineer,3,1600
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ho Chi Minh city,2023,Senior,Data Scientist,3,2500
Ha Noi city,2023,Senior,Big Data,3,2965
Ho Chi Minh city,2023,Senior,Data Analyst,4,2700
Ha Noi city,2023,Senior,Data Analyst,3,1485
Ha Noi city,2023,Junior,Data Scientist,2,1485
Ho Chi Minh city,2024,Junior,Machine Learning Engineer,1,1060
Ha Noi city,2024,Junior,Data Analyst,2,2200
Ha Noi city,2024,Junior,Data Governance Analyst,2,2200
Ho Chi Minh city,2023,Senior,Data Analyst,4,2700
Ha Noi city,2023,Senior,Data Engineer,3,1695
Ha Noi city,2023,Junior,Data Engineer,1,1270
Ha Noi city,2023,Senior,Data Engineer,3,2330
Ha Noi city,2024,Junior,Data Engineer,2,1060
Ha Noi city,2024,Junior,Data Analyst,2,1500
Ho Chi Minh city,2024,Junior,Data Engineer,2,1200
Ho Chi Minh city,2024,Intern,Data Analyst,2,210
Ho Chi Minh city,2024,Manager,Data Science Manager,3,3500
Ha Noi city,2023,Senior,Data Engineer,3,1695
Ho Chi Minh city,2023,Junior,Data Engineer,2,1425
Ha Noi city,2023,Senior,Data Analyst,3,1800
Ho Chi Minh city,2024,Junior,Data Engineer,2,2000
Ha Noi city,2024,Junior,Data Analyst,1,850
Ho Chi Minh city,2024,Senior,Data Scientist,3,3000
Ha Noi city,2024,Junior,Data Scientist,1,975
Ha Noi city,2024,Junior,Data Analyst,1,1200
Ho Chi Minh city,2024,Senior,Data Analyst,5,2800
Ho Chi Minh city,2024,Junior,Data Analyst,1,635
Ho Chi Minh city,2024,Senior,Data Scientist,5,3000
Ha Noi city,2024,Junior,Data Scientist,1,2200
Ho Chi Minh city,2024,Senior,Data Analyst,3,1800
Ha Noi city,2023,Junior,Data Engineer,2,1200
Ha Noi city,2023,Senior,Data Engineer,3,1905
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Senior,Data Engineer,3,2540
Ha Noi city,2023,Senior,Data Engineer,3,2330
Ho Chi Minh city,2023,Junior,Data Analyst,2,2200
Ho Chi Minh city,2023,Senior,Data Analyst,4,1695
Ho Chi Minh city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Junior,Data Analyst,1,1200
Ha Noi city,2024,Senior,Data Analyst,3,1800
Ho Chi Minh city,2024,Junior,Data Analyst,2,1800
Ha Noi city,2024,Manager,Head of AI Center,10,10000
Ha Noi city,2024,Senior,Data Analyst,2,1000
Ha Noi city,2023,Senior,Data Engineer,3,1905
Ha Noi city,2023,Senior,Data Analyst,3,2000
Ho Chi Minh city,2023,Junior,Data Engineer,2,1700
Ha Noi city,2023,Senior,Data Engineer,3,1905
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Junior,Data Engineer,2,1500
Ho Chi Minh city,2023,Junior,Data Engineer,2,1525
Ha Noi city,2023,Junior,Data Engineer,2,1270
Ha Noi city,2023,Senior,Data Analyst,3,1500
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2540
Ho Chi Minh city,2023,Senior,Data Scientist,5,2800
Ho Chi Minh city,2023,Senior,Data Engineer,5,3000
Ha Noi city,2024,Manager,Head of AI Center,10,5000
Ho Chi Minh city,2024,Senior,Data Analyst Supervisor,3,1200
Ho Chi Minh city,2024,Senior,Data Analyst,5,2800
Ha Noi city,2024,Senior,Data Engineer,3,1200
Ho Chi Minh city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Senior,Big Data,3,2965
Ha Noi city,2023,Senior,Data Scientist,8,5085
Ho Chi Minh city,2023,Senior,Data Scientist,8,5085
Ha Noi city,2023,Senior,Data Analyst,3,3000
Ha Noi city,2023,Senior,Data Governance,4,3000
Ho Chi Minh city,2023,Senior,Data Engineer,3,1700
Ho Chi Minh city,2023,Senior,Data Engineer,3,1600
Ha Noi city,2023,Junior,Data Engineer,2,1355
Ho Chi Minh city,2024,Intern,Data Engineer,0,210
Ha Noi city,2024,Junior,Data Engineer,1,1270
Ha Noi city,2024,Senior,Data Engineer,3,2200
Ha Noi city,2023,Junior,Data Scientist,1,850
Ho Chi Minh city,2024,Senior,Data Engineer,3,2000
Ho Chi Minh city,2024,Senior,Data Analyst,3,1485
Ha Noi city,2023,Senior,Data Engineer,3,2540
Ho Chi Minh city,2023,Senior,Data Engineer,4,3000
Ho Chi Minh city,2024,Senior,Data Scientist,3,2965
Ha Noi city,2023,Senior,Data Engineer,3,1270
Ha Noi city,2023,Senior,Senior Data,3,2000
Ha Noi city,2023,Senior,Data Scientist,10,4000
Ho Chi Minh city,2023,Junior,Data Engineer,2,1270
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2024,Senior,Risk Modeler,3,2200
Ha Noi city,2024,Junior,Data Analyst,2,2500
Ho Chi Minh city,2023,Senior,Data Engineer,8,3000
Ho Chi Minh city,2023,Senior,Data Scientist,4,2500
Ha Noi city,2023,Junior,Data Engineer,1,1270
Ha Noi city,2023,Junior,Data Analyst,1,1270
Ha Noi city,2023,Senior,Data Engineer,5,3000
Ha Noi city,2023,Senior,Data Scientist,8,5085
Ho Chi Minh city,2023,Senior,Data Scientist,8,5085
Ho Chi Minh city,2024,Intern,Data Analyst,0,125
Ha Noi city,2024,Senior,Data Engineer,4,2200
Ho Chi Minh city,2024,Junior,Data Engineer,2,1270
Ho Chi Minh city,2024,Junior,Data Analysr,2,1270
Ho Chi Minh city,2024,Senior,Data Scientist,5,2500
Ho Chi Minh city,2023,Junior,Data Engineer,2,2000
Ho Chi Minh city,2023,Senior,Data Engineer,5,2755
Ha Noi city,2023,Senior,Data Engineer,5,2755
Ha Noi city,2024,Manager,Data Engineer,5,3000
Ho Chi Minh city,2023,Senior,Data Architect,5,4500
Ha Noi city,2023,Senior,Data Engineer,3,1695
Ho Chi Minh city,2023,Senior,Data Scientist,5,2200
Ho Chi Minh city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Senior,Data Engineer,3,1485
Ha Noi city,2023,Junior,Data Engineer,2,1355
Ho Chi Minh city,2023,Senior,BI Engineer,4,1500
Ho Chi Minh city,2024,Fresher,Data Analyst,1,720
Ho Chi Minh city,2024,Intern,Data Analyst,0,125
Ha Noi city,2023,Junior,Data Analyst,2,1060
Ha Noi city,2024,Senior,Expert Data Governance Consulting,7,3500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2000
Ha Noi city,2023,Senior,Data Engineer,3,2330
Ha Noi city,2023,Junior,Data Engineer,2,1500
Ha Noi city,2023,Senior,Data Engineer,4,2540
Ho Chi Minh city,2023,Senior,Data Engineer,3,2400
Ha Noi city,2023,Senior,Big Data,3,2965
Ha Noi city,2023,Junior,Data Engineer,1,1500
Ha Noi city,2024,Senior,Data Analyst,4,1700
Ha Noi city,2024,Junior,Data Engineer,2,1485
Ha Noi city,2024,Senior,Data Analyst,3,1485
Ha Noi city,2023,Junior,Data Scientist,2,1270
Ho Chi Minh city,2023,Junior,Data Analyst Supervisor,2,1200
Ha Noi city,2023,Senior,Data Engineer,5,2540
Ho Chi Minh city,2023,Junior,Data Scientist,2,1800
